name,openset
WM027_4PL,"Video Cues: Gaze shifts downward and to the side intermittently; lips slightly parted with subtle jaw movement; no visible self-touching or fidgeting; head remains mostly still with slight forward tilts; facial expression remains neutral with minimal micro-expressions.; Audio Cues: Prosody/Timing: speech rate varies with pauses and hesitations; rhythm is uneven with fillers and self-repairs. Voice quality/Tension: pitch variation is present with moments of stability; loudness/energy fluctuates with breathiness and strain/tension observed.; Reasoning: Visual evidence shows some gaze shifts or downward glances, subtle mouth or jaw movement, an absence of visible self-touching or fidgeting. Audio evidence shows timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation without marked instability, fluctuating loudness or energy. Taken together, the visual and audio cues show a weak-to-moderate cross-modal pattern of monitoring or load, so the overall balance remains more compatible with a deceptive prediction.; Prediction: deceptive."
WM005_1PT,"Video Cues: Gaze shifts downward and to the side, occasional blinks, slight lip parting appears together with jaw movement, head tilts slightly, there are no visible self-touching or fidgeting behaviors, posture appears upright and still.; Audio Cues: Timing and prosody: speech rate fluctuates, with pauses and hesitations; uneven rhythm is accompanied by fillers. Vocal quality/tension: pitch variation can be heard; there are fluctuations in loudness/energy; breathiness can be heard; strain/tension is absent; no voice breaks are present.; Reasoning: The visual channel contributes some gaze shifts or downward glances, subtle mouth or jaw movement, an absence of visible self-touching or fidgeting, while the audio channel contributes timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation without marked instability, fluctuating loudness or energy, audible breathiness. When the visual and audio observations are considered together, they do not form a strong cross-modal deception pattern, so the evidence still leans toward a truthful prediction.; Prediction: truthful."
WF002_1PT,"Video Cues: Gaze shifts frequently between direct and sideways glances, eyelids blink at moderate pace, lips move with speech, no visible self-touching or fidgeting, facial expression remains generally neutral with slight smiling, head remains mostly still with minor tilts.; Audio Cues: Prosody/Timing: speech rate varies with pauses and hesitations; rhythm is uneven due to fillers. Voice quality/Tension: pitch variation is present; loudness/energy fluctuates; breathiness is noticeable; tremor/shakiness is not observed; strain/tension is not observed; voice breaks not observed.; Reasoning: Visual evidence shows an absence of visible self-touching or fidgeting, limited head movement or mild tilts. Audio evidence shows timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation without marked instability, fluctuating loudness or energy, audible breathiness. Taken together, the cross-modal evidence remains non-specific and does not provide strong support for deception, so the overall balance stays more compatible with a truthful prediction.; Prediction: truthful."
BM012_3NT,"Video Cues: Mostly forward gaze is maintained, with brief downward glances; lips move with jaw motion; there are no visible self-touching, fidgeting, or posture shifts; mild tension is visible around the mouth and forehead.; Audio Cues: Timing and prosody: speech rate fluctuates, with pauses and hesitations; uneven rhythm appears together with fillers and interruptions. Vocal quality/tension: noticeable pitch variation with some instability is present; there are fluctuations in loudness/energy; breathiness can be heard; no tremor/shakiness is present; vocal strain/tension is present; no voice breaks are present.; Reasoning: The visual channel contributes some gaze shifts or downward glances, subtle mouth or jaw movement, an absence of visible self-touching or fidgeting, while the audio channel contributes timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability, fluctuating loudness or energy, audible breathiness. When the visual and audio observations are considered together, they do not form a strong cross-modal deception pattern, so the evidence still leans toward a truthful prediction.; Prediction: truthful."
BM024_4PL,"Video Cues: Gaze remains mostly forward with slight downward glances; lips move with speech; no visible self-touching or fidgeting; head remains steady with minimal movement; facial expression appears neutral to slightly engaged.; Audio Cues: Prosody/Timing: speech rate is moderate with frequent pauses, hesitations; rhythm is uneven with multiple fillers. Voice quality/Tension: pitch variation is present with slight instability, loudness/energy is moderate with occasional drops; breathiness is noticeable, tremor/shakiness is not observed, strain/tension is not observed, voice breaks are not observed.; Reasoning: Visual evidence shows some gaze shifts or downward glances, an absence of visible self-touching or fidgeting. Audio evidence shows timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability, audible breathiness, no clear vocal strain or tension. Taken together, the visual and audio cues show a weak-to-moderate cross-modal pattern of monitoring or load, so the overall balance remains more compatible with a deceptive prediction.; Prediction: deceptive."
BM010_4PL,"Video Cues: Gaze shifts slightly downward and to the side intermittently; lips move with speech; there are no visible self-touching or fidgeting behaviors; a mostly still head position is observed with minor tilts; a neutral facial expression is maintained to slightly engaged without overt emotional display.; Audio Cues: Timing and prosody: speech rate varies with pauses between phrases, hesitations present before phrase boundaries; rhythm is uneven with self-repairs in a phrase and a phrase; Vocal quality/tension: a moderate degree of pitch variation can be heard with slight stability during emotional peaks, there are fluctuations in loudness/energy with emphasis on a phrase and a phrase; breathiness can be heard during longer pauses, no tremor/shakiness is present, strain/tension minimal, voice breaks not observed.; Reasoning: The visual channel contributes an absence of visible self-touching or fidgeting, while the audio channel contributes pitch variation without marked instability, fluctuating loudness or energy, audible breathiness. Considering both modalities together, the cue pattern is not decisive on its own but still aligns more with a deceptive than a truthful prediction.; Prediction: deceptive."
BM004_1PT,"Video Cues: Mostly forward gaze is maintained, with brief downward glances; lips move with speech; there are no visible self-touching or fidgeting behaviors; facial expression shifts from neutral to smiling; head remains steady with minimal motion.; Audio Cues: Timing and prosody: speech rate varies with occasional pauses and hesitations; rhythm is somewhat uneven with fillers are present and a phrase Vocal quality/tension: a moderate degree of pitch variation can be heard with slight instability during emotional emphasis; there are fluctuations in loudness/energy, showing moments of heightened enthusiasm and quieter, reflective tones; noticeable breathiness is present during longer phrases; no tremor or strain observed; voice breaks not detected.; Reasoning: The visual channel contributes some gaze shifts or downward glances, an absence of visible self-touching or fidgeting, while the audio channel contributes timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability, fluctuating loudness or energy, audible breathiness. When the visual and audio observations are considered together, they do not form a strong cross-modal deception pattern, so the evidence still leans toward a truthful prediction.; Prediction: truthful."
WM021_2NL,"Video Cues: Eyes maintain steady forward gaze with occasional downward glances; lips move with speech; no visible self-touching or fidgeting; head remains mostly still with slight tilts; facial expression shows mild engagement without overt tension or emotional display.; Audio Cues: Prosody/Timing: speech rate varies with pauses and hesitations; rhythm is uneven due to fillers. Voice quality/Tension: pitch variation is present with instability; loudness/energy fluctuates with breathiness and strain/tension.; Reasoning: Visual evidence shows some gaze shifts or downward glances, an absence of visible self-touching or fidgeting, limited head movement or mild tilts. Audio evidence shows timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability, fluctuating loudness or energy. Taken together, the visual and audio cues show a weak-to-moderate cross-modal pattern of monitoring or load, so the overall balance remains more compatible with a deceptive prediction.; Prediction: deceptive."
WM009_4PL,"Video Cues: Gaze frequently shifts downward and to the sides, with occasional brief eye contact; eyelids blink at a normal rate; mouth moves with speech; no visible self-touching or fidgeting; facial expression remains relatively neutral with slight smiles; head remains mostly still with minor tilts.; Audio Cues: Prosody/Timing: speech rate varies with pauses and hesitations; rhythm is uneven due to fillers. Voice quality/Tension: pitch variation is present; loudness/energy fluctuates; breathiness is noticeable; tremor/shakiness is not observed; strain/tension is not observed; voice breaks are not observed.; Reasoning: Visual evidence shows an absence of visible self-touching or fidgeting, limited head movement or mild tilts. Audio evidence shows timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation without marked instability, fluctuating loudness or energy, audible breathiness. Taken together, the visual and audio cues show a weak-to-moderate cross-modal pattern of monitoring or load, so the overall balance remains more compatible with a deceptive prediction.; Prediction: deceptive."
WM007_1PT,"Video Cues: Gaze shifts downward and to the sides; eyelids blink at moderate rate; mouth slightly parted with jaw movement; there are no visible self-touching or fidgeting behaviors; a mostly still head position is observed with slight tilts; facial expression neutral with minimal affect display.; Audio Cues: Timing and prosody: speech rate fluctuates, with pauses and hesitations; uneven rhythm is accompanied by interruptions and self-repairs. Vocal quality/tension: noticeable pitch variation with some instability is present; there are fluctuations in loudness/energy; breathiness can be heard; no tremor/shakiness is present; strain/tension is absent; no voice breaks are present.; Reasoning: The visual channel contributes some gaze shifts or downward glances, subtle mouth or jaw movement, an absence of visible self-touching or fidgeting, while the audio channel contributes timing disruptions such as pauses, hesitations, fillers, or uneven rhythm, pitch variation with some instability, fluctuating loudness or energy, audible breathiness. When the visual and audio observations are considered together, they do not form a strong cross-modal deception pattern, so the evidence still leans toward a truthful prediction.; Prediction: truthful."
